subject	order	NR_R	TNT	trial	rt
8	2	1	1	2	582.7
8	2	1	1	2	564.2
8	2	1	1	2	516.6
8	2	1	1	2	453
8	2	1	1	2	569.5
8	2	1	1	2	454.1
8	2	1	1	3	NaN
8	2	1	1	3	431.4
8	2	1	1	3	510.6
8	2	1	1	3	358.5
8	2	1	1	3	430.7
8	2	1	1	3	400.7
8	2	1	1	3	416.5
8	2	1	1	3	436.1
8	2	1	1	4	464.7
8	2	1	1	4	437.3
8	2	1	1	4	443.8
8	2	1	1	4	452.1
8	2	1	1	4	NaN
8	2	1	1	4	527.3
8	2	1	1	4	409.7
8	2	1	1	4	578.2
8	2	1	1	5	468.4
8	2	1	1	5	471.8
8	2	1	1	5	324.2
8	2	1	1	5	366.3
8	2	1	1	5	445.8
8	2	1	1	5	370
8	2	1	1	5	526.4
8	2	1	1	5	444.5
8	2	1	1	6	582
8	2	1	1	6	412.2
8	2	1	1	6	378.1
8	2	1	1	6	398.8
8	2	1	1	6	456.9
8	2	1	1	6	338.1
8	2	1	1	6	363.8
8	2	1	1	6	342.3
8	2	1	2	1	NaN
8	2	1	2	1	605.4
8	2	1	2	1	649.2
8	2	1	2	1	570.6
8	2	1	2	1	607.8
8	2	1	2	1	600.3
8	2	1	2	1	612.9
8	2	1	2	1	563.9
8	2	1	2	2	568.7
8	2	1	2	2	512.1
8	2	1	2	2	584.7
8	2	1	2	2	431.4
8	2	1	2	2	449.2
8	2	1	2	2	428.9
8	2	1	2	2	449.2
8	2	1	2	2	448.9
8	2	1	2	3	429
8	2	1	2	3	NaN
8	2	1	2	3	443.3
8	2	1	2	3	423.7
8	2	1	2	3	487.3
8	2	1	2	3	457.4
8	2	1	2	3	420.8
8	2	1	2	3	449.6
8	2	1	2	4	445.6
8	2	1	2	4	596.1
8	2	1	2	4	517.6
8	2	1	2	4	525.2
8	2	1	2	4	527.1
8	2	1	2	4	453.9
8	2	1	2	4	475.6
8	2	1	2	4	387.9
8	2	1	2	5	417.8
8	2	1	2	5	416.4
8	2	1	2	5	436.3
8	2	1	2	5	454.7
8	2	1	2	5	405.3
8	2	1	2	5	423
8	2	1	2	5	456.3
8	2	1	2	5	445.7
8	2	1	2	6	454.3
8	2	1	2	6	415.5
8	2	1	2	6	400.1
8	2	1	2	6	486.2
8	2	1	2	6	421.6
8	2	1	2	6	383.1
8	2	1	2	6	399.2
8	2	1	2	6	415.2
8	2	2	1	1	NaN
8	2	2	1	1	651.6
8	2	2	1	1	520.4
8	2	2	1	1	506.1
8	2	2	1	1	581.7
8	2	2	1	1	NaN
8	2	2	1	1	507.1
8	2	2	1	1	474.8
8	2	2	1	2	463.5
8	2	2	1	2	537.1
8	2	2	1	2	NaN
8	2	2	1	2	680.9
8	2	2	1	2	508.4
8	2	2	1	2	459
8	2	2	1	2	559.5
8	2	2	1	2	564.2
8	2	2	1	3	508.2
8	2	2	1	3	517.6
8	2	2	1	3	496.8
8	2	2	1	3	547.2
8	2	2	1	3	496
8	2	2	1	3	494.3
8	2	2	1	3	519.6
8	2	2	1	3	506
8	2	2	1	4	464.2
8	2	2	1	4	456.5
8	2	2	1	4	434.8
8	2	2	1	4	452.4
8	2	2	1	4	510.3
8	2	2	1	4	459.4
8	2	2	1	4	500.2
8	2	2	1	4	461.2
8	2	2	1	5	558.2
8	2	2	1	5	512.2
8	2	2	1	5	653.7
8	2	2	1	5	529.6
8	2	2	1	5	569.8
8	2	2	1	5	365.1
8	2	2	1	5	538.6
8	2	2	1	5	406.5
8	2	2	1	6	458.1
8	2	2	1	6	449.7
8	2	2	1	6	450.1
8	2	2	1	6	592.3
8	2	2	1	6	394.7
8	2	2	1	6	492.1
8	2	2	1	6	415.3
8	2	2	1	6	439.6
8	2	2	2	1	NaN
8	2	2	2	1	NaN
8	2	2	2	1	NaN
8	2	2	2	1	679.7
8	2	2	2	1	589.1
8	2	2	2	1	605.9
8	2	2	2	1	537.4
8	2	2	2	1	569
8	2	2	2	2	602.4
8	2	2	2	2	619
8	2	2	2	2	476.3
8	2	2	2	2	475.8
8	2	2	2	2	500.1
8	2	2	2	2	474.7
8	2	2	2	2	655.6
8	2	2	2	2	562.6
